movie_info_ID,genre_ID
1,7
1,1
2,16
2,2
2,1
3,3
3,2
3,8
3,9
3,4
4,3
4,4
4,8
4,2
4,9
5,1
6,18
6,4
6,5
7,1
7,18
7,5
8,3
8,8
8,9
8,2
8,4
9,1
9,16
10,1
10,7
10,11
10,16
10,18
11,11
11,18
12,11
13,4
13,13
13,1
14,1
14,2
14,16
15,11
15,13
16,7
16,10
17,18
17,13
17,11
17,9
18,11
18,18
19,18
20,19
20,1
20,2
20,18
21,3
21,2
21,8
21,9
22,1
22,2
22,18
23,7
24,3
24,9
24,11
24,1
24,13
25,1
25,4
25,9
26,11
26,18
27,1
27,16
27,18
27,11
28,1
28,2
28,16
28,9
29,6
30,16
30,11
30,4
31,16
31,2
31,1
32,18
32,1
33,1
33,4
33,18
34,7
34,11
35,11
36,1
36,18
36,5
37,11
37,18
38,1
38,18
39,1
39,4
39,15
40,1
40,18
40,5
41,3
41,1
41,16
42,18
42,7
43,1
44,18
44,1
44,7
44,5
45,7
46,11
46,18
47,5
47,7
47,18
48,8
48,4
48,9
49,3
49,8
49,4
50,3
50,1
50,2
50,9
50,18
51,7
51,11
51,13
52,18
52,11
53,16
53,1
53,2
54,4
54,7
55,4
56,2
56,9
56,4
57,9
57,1
57,2
57,18
58,1
58,2
58,8
58,4
59,7
59,5
60,3
60,8
60,2
60,4
61,12
62,4
62,7
62,15
63,1
63,7
64,7
64,18
65,19
65,7
66,1
66,5
66,7
66,18
67,5
67,1
68,11
68,13
68,18
69,1
69,2
69,9
69,16
70,5
70,7
70,18
71,18
71,10
71,7
72,18
72,16
72,1
73,9
73,1
73,4
74,16
74,18
75,11
76,1
76,18
77,1
77,2
77,16
78,1
78,4
78,9
78,5
79,3
79,2
79,9
79,4
80,3
80,9
80,7
80,12
81,3
81,2
81,4
81,8
82,3
82,16
82,1
83,13
83,18
83,11
84,18
84,1
84,16
85,1
85,11
85,18
86,1
86,7
86,10
87,8
87,3
88,1
88,2
88,4
88,8
88,16
89,5
89,18
89,7
90,2
90,1
90,16
91,3
91,8
91,2
92,1
92,4
92,9
93,4
94,7
94,19
94,10
95,1
95,4
95,5
95,18
96,11
96,13
96,18
98,19
98,10
98,7
99,1
99,7
99,10
100,11
100,18
101,7
101,15
101,1
102,16
102,11
103,9
103,1
103,2
104,1
104,13
104,18
105,2
105,1
105,16
106,11
106,13
106,18
107,4
108,1
108,5
108,18
109,3
109,8
109,2
109,16
110,7
110,10
112,1
112,3
112,9
113,4
114,3
114,4
114,8
115,7
116,7
117,18
117,1
117,11
117,2
118,1
118,5
118,18
119,1
119,5
119,18
120,1
120,5
120,18
121,11
121,18
121,13
122,3
122,8
122,4
122,9
123,3
123,4
123,8
123,9
124,8
124,9
125,4
125,7
125,15
126,4
126,8
126,12
127,7
128,7
128,10
128,19
129,7
129,11
129,18
130,11
131,3
131,1
131,9
132,5
132,13
132,18
133,7
133,15
134,3
134,4
134,9
135,2
135,8
135,9
136,11
137,20
137,11
137,13
138,18
138,7
139,7
140,7
141,4
141,8
141,9
142,3
142,2
142,4
142,9
143,1
143,4
143,18
144,3
144,4
144,8
144,9
145,1
145,7
145,9
145,18
146,3
146,8
147,11
147,18
147,1
147,2
148,3
148,4
148,9
148,2
148,8
149,6
150,7
150,18
150,5
151,18
152,19
152,1
153,4
153,15
154,3
154,4
154,8
154,9
154,2
155,1
155,18
155,4
156,16
156,11
156,2
156,1
157,1
157,2
157,16
158,4
158,5
158,13
159,18
159,7
160,11
160,1
161,3
161,1
161,2
161,16
162,4
162,15
163,11
164,3
164,8
165,1
165,18
165,13
165,5
165,11
166,3
166,1
166,2
166,4
167,4
167,13
168,11
169,7
169,4
170,1
170,2
170,4
172,1
172,5
172,18
173,4
173,1
173,18
174,3
174,4
174,15
175,2
175,9
176,1
176,18
176,5
177,11
177,18
178,16
178,1
178,2
179,2
179,9
180,4
180,7
181,1
181,2
182,3
182,1
182,8
182,4
182,16
183,16
184,7
185,1
185,3
185,4
185,9
185,11
185,19
186,1
186,9
186,17
187,9
187,2
187,8
188,3
188,2
188,4
188,8
189,18
189,2
190,1
190,4
190,5
191,2
191,7
191,16
192,11
192,18
192,13
193,15
193,7
194,3
194,4
194,8
195,18
195,7
195,5
196,7
197,3
197,8
197,9
198,18
198,5
198,1
198,13
199,2
199,9
199,8
200,18
200,7
200,11
201,11
201,18
202,1
202,2
202,9
203,4
204,1
204,2
204,18
205,7
205,10
206,2
206,9
207,3
208,7
208,18
209,18
209,13
210,11
210,13
210,18
211,7
212,16
212,1
212,2
214,15
214,4
214,7
215,2
215,7
215,1
216,19
216,1
217,2
217,8
217,9
217,15
218,1
218,2
218,5
218,18
219,5
219,7
219,4
220,4
220,7
220,10
220,15
221,3
221,2
221,4
221,8
221,9
222,7
222,18
222,19
224,2
224,9
225,18
225,15
226,1
226,7
227,7
227,4
228,11
228,18
229,8
229,4
229,3
229,2
230,1
230,2
230,16
231,2
231,16
231,1
232,3
232,1
232,2
232,16
233,11
233,1
233,4
234,2
234,9
234,13
235,1
235,2
235,9
236,8
236,7
237,8
237,2
237,12
237,3
238,15
238,7
239,18
240,1
240,7
240,10
242,15
242,7
243,9
243,4
243,8
244,1
244,16
244,9
245,3
245,8
245,2
245,4
246,3
246,8
247,18
247,5
248,7
248,15
248,18
249,9
249,2
250,7
251,3
251,4
251,8
252,3
252,4
252,2
252,8
253,1
253,5
253,16
254,1
254,9
254,16
255,1
255,5
255,18
256,1
256,2
256,9
257,1
257,2
257,9
257,16
258,3
258,1
258,2
258,8
258,16
259,18
260,15
260,4
261,18
261,5
262,3
262,7
262,2
262,9
263,2
263,9
263,1
264,3
264,2
264,8
264,1
264,4
264,16
265,9
