movie_info_ID,title,year,imdb_score,original_language,budget,revenue,country
5170,Unfriended: Dark Web (2018),2018,63,English,1000000,16434588,AU
5171,Dragon: The Bruce Lee Story (1993),1993,69,English,14000000,63513743,AU
5172,Doraemon: Nobita's Dorabian Nights (1991),1991,74,Japanese,131600000,397057826,JP
5173,Fried Green Tomatoes (1992),1992,77,English,11000000,81204830,AU
5174,On the Edge (2022),2022,59,French,85600000,231390603,FR
5175,Idol Sex: LA Korean Women (2020),2020,10,Korean,198540000,38157314,KR
5176,Fantastic Planet (1973),1973,77,French,106000000,1032469156,FR
5177,Sextuplets (2019),2019,63,English,110000000,271669045,US
5178,A Bad Moms Christmas (2017),2017,63,English,28000000,127710550,AU
5179,Universal Soldier: Day of Reckoning (2012),2012,55,English,11500000,1402307,US
5180,Fear and Loathing in Las Vegas (1998),1998,72,English,18500000,13711903,AU
5181,Miracle: Letters to the President (2021),2021,73,Korean,7048000,5619316,KR
5182,Torn Hearts (2022),2022,60,English,131000000,577005603,US
5183,The Muppets (2012),2012,67,English,45000000,160971922,AU
5184,Rendel (2017),2017,54,Finnish,1686858,1891907,FI
5185,Old School (2003),2003,66,English,24000000,86737464,AU
5186,El test (2022),2022,62," Spanish, Castilian",161400000,287419513,ES
5187,The Cursed: Dead Man’s Prey (2021),2021,76,Korean,114400000,552961814,KR
5188,Volcano (1997),1997,59,English,90000000,120100000,US
5189,Obsessed (2014),2014,69,Korean,20000000,73964713,KR
5190,Day of the Dead: Bloodline (2018),2018,46,English,8000000,2279595,US
5191,Ip Man 4: The Finale (2019),2019,72,Cantonese,52000000,176345966,AU
5192,Queen of the Damned (2002),2002,61,English,35000000,30307804,AU
5193,Inside (2018),2018,50,English,67800000,677521305,US
5194,Megamind: The Button of Doom (2011),2011,67,English,158000000,392188196,US
5195,Fallen (1998),1998,68,English,46000000,25232289,AU
5196,The Boy Next Door (2015),2015,48,English,4000000,53401938,AU
5197,American Gigolo (1980),1980,61,English,5000000,52700000,US
5198,Doraemon: Nobita and the Kingdom of Clouds (1992),1992,72,Japanese,71600000,797314974,JP
5199,Lost in Translation (2003),2003,74,English,4000000,117085297,AU
5200,The Break-Up (2006),2006,58,English,52000000,205727307,AU
5201,Paprika (2006),2006,78,Japanese,38061149,946590,JP
5202,Kuroko's Basketball - Movie: Winter Cup - Shadow and Light (2016),2016,67,Japanese,159400000,335498978,JP
5203,House of 1000 Corpses (2003),2003,62,English,7000000,17949758,AU
5204,Made in Abyss: Dawn of the Deep Soul (2020),2020,80,Japanese,20311197,4971635,AU
5205,Perfect Stranger (2007),2007,58,English,60795000,73090611,US
5206,Death Note Relight 2: L's Successors (2009),2009,73,Japanese,102200000,1165655469,AU
5207,Assassination (2015),2015,74,Korean,2630000,96119773,AU
5208,Little Nicky (2000),2000,59,English,80000000,58270391,AU
5209,Street Kings (2008),2008,66,English,20000000,65457811,AU
5210,Harry Potter: A History Of Magic (2017),2017,73,English,53600000,682429959,US
5211,Fast & Furious (2009),2009,67,English,85000000,359347833,AU
5212,La conjura de El Escorial (2008),2008,44," Spanish, Castilian",132800000,545186295,US
5213,Explorer: The Deepest Cave (2022),2022,47,English,137200000,937727043,US
5214,Smokey and the Bandit (1977),1977,69,English,4300000,126737428,AU
5215,The War with Grandpa (2020),2020,65,English,38000000,46819069,AU
5216,Die neuen Abenteuer des Sanitätsgefreiten Neumann (1978),1978,75,German,90200000,668589731,DE
5217,Problem Child 2 (1991),1991,58,English,15000000,32704700,US
5218,Chef (2014),2014,71,English,11000000,45967935,AU
5219,47 Meters Down (2019),2019,58,English,5300000,62633705,AU
5220,Bermuda Tentacles (2014),2014,41,English,97800000,554939984,US
5221,Godzilla: Planet of the Monsters (2017),2017,63,Japanese,146200000,367718408,JP
5222,Masquerade (2023),2023,70,French,14000000,306869795,AU
5223,Mutual Relations (2015),2015,54,Korean,98100000,376152925,KR
5224,Babel (2006),2006,72,English,20000000,132121212,AU
5225,Puppylove (2013),2013,60,French,73000000,544378189,US
5226,Intruders (2011),2011,54,English,1587000,8019,CA
5227,The Unfamiliar (2020),2020,59,English,95800000,277746658,US
5228,Drunken Master (1978),1978,74,Cantonese,88240000,335240483,US
5229,Flashdance (1983),1983,65,English,7000000,201463574,AU
