genre_ID,genre_name
1,Action
2,Adventure
3,Animation
4,Comedy
5,Crime
6,Documentary
7,Drama
8,Family
9,Fantasy
10,History
11,Horror
12,Music
13,Mystery
14,Other/unspecified
15,Romance
16,Science Fiction
17,TV Movie
18,Thriller
19,War
20,Western
